100001,120,20211130
100002,20,20211130
100003,20,20211130
100004,40,20211121
100005,0,
100006,20,20211130
100007,0,
100008,50,20211127
100009,70,20211125
100010,30,20211122
100011,5,20211123
100012,8,20211123
100013,70,20211130
100014,10,20211127
100015,20,20211124
100016,30,20211121
100017,0,
100018,70,20211119
100019,60,20211123
100020,160,20211202
100021,0,
100022,90,20211129
100023,10,20211121
100024,60,20211130
100025,110,20211122
100026,20,20211123
100027,70,20211207
100028,90,20211129
100029,20,20211210
100030,80,20211214
100031,100,20211202
100032,90,20211210
100033,150,20211129
100034,40,20211218
100035,140,20211220
100036,90,20211128
100037,20,20211201
100038,80,20211222
100039,100,20211121
100040,200,20211215
100041,50,20211205
100042,300,20211212
100043,40,20211201
100044,120,20211203
100045,120,20211203
100046,120,20211203
100047,70,20211130
100048,70,20211130
100049,70,20211130
100050,150,20211127
100051,170,20211214
100052,170,20211214
100053,170,20211214
100054,0,
100055,80,20211202
100056,80,20211202
100057,80,20211202
100058,200,20211121
100059,100,20211130
100060,100,20211121
100061,200,20211205
100062,90,20211205
100063,300,20211212
100064,140,20211201
100065,30,20211213
100066,80,20211205
100067,80,20211205
100068,150,20211207
100069,20,20211217
100070,0,
100071,50,20211125
100072,120,20211121
100073,120,20211121
100074,120,20211121
100075,90,20211208
100076,60,20211122
100077,90,20211121
100078,80,20211123
100079,150,20211205
100080,100,20211124
100081,50,20211122
100082,100,20211127
100083,70,20211124
100084,50,20211209
100085,40,20211208
100086,100,20211120
100087,90,20211125
100088,80,20211130
100089,120,20211119
100090,80,20211203
100091,0,
100092,170,20211126
100093,30,20211121
100094,200,20211210
100095,100,20211122
100096,500,20211128
100097,400,20211218
100098,50,20211210
100099,120,20211201
100100,200,20211123
